SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,3,1,6,3,1,2,1,1,2,1,2,2,-0.32856962,-0.31500894,-0.37987044,-0.19396693,-0.3289177,-0.2725709
1,2,1,3,3,1,3,1,1,1,1,1,1,0.08839379,-0.13265555,-0.38903275,-0.19396693,0.52513427,1.2241473
1,5,1,4,3,1,4,1,1,1,1,1,2,-0.412004,-0.53200954,-0.27465063,-0.19396693,-0.4695851,-0.2725709
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.5099487,-0.40618566,-0.26847523,-0.19396693,-0.90450567,-0.33715585
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.5162036,-0.62227446,-0.26847523,-0.19396693,-0.8054644,-0.31162226
1,2,1,2,1,1,3,1,1,1,1,1,1,0.13009013,-0.8091867,1.5448718,-0.19396693,3.0327458,-0.2913456
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.43322742,-0.31500894,-0.060436092,-0.19396693,-0.3289177,0.23584768
1,6,1,4,3,1,3,1,1,2,1,2,2,-0.3081384,-0.31500894,-0.3662736,-0.06853796,-0.3289177,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.33690888,-0.31500894,0.1604486,-0.19396693,-0.3289177,-0.74869704
1,5,1,7,7,2,2,1,1,1,1,1,2,-0.22437546,0.8766706,-0.34941497,-0.19396693,-0.7509199,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.4119623,-0.31500894,0.42534897,7.030741,-0.3289177,0.2411046
1,2,1,2,2,1,3,1,1,1,1,1,1,0.81807977,-0.3223031,1.5128038,-0.19396693,3.0643244,0.3252152
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.34524816,-0.6250098,-0.10972926,-0.19396693,-0.07629056,-0.8155349
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.57874805,-0.7708925,-0.26847523,-0.19396693,-1.0035471,-0.3934799
1,2,1,2,1,1,2,1,1,2,2,2,1,-0.48076126,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.5459304
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3515026,-0.7873043,0.1604486,-0.19396693,0.24379951,-0.72166145
1,2,1,3,1,1,3,1,1,2,1,2,1,-0.22641358,-0.31500894,-0.025436115,-0.19396693,-0.3289177,0.1930414
1,2,1,5,7,1,3,1,1,1,1,1,1,1.5873772,0.9514355,-0.27069253,-0.19396693,1.686358,1.7979019
1,2,1,2,3,1,3,1,1,1,1,1,1,-0.597511,-0.5867155,0.36832282,-0.19396693,-1.1585683,-0.14940894
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.31606072,-0.7253041,-0.023603655,-0.19396693,0.26389486,0.21782398
1,2,1,3,3,1,3,1,1,1,1,1,1,0.01959483,-0.32412663,1.015401,-0.19396693,0.66006017,0.27414805
1,5,1,4,3,1,1,1,1,1,1,1,2,-0.31230804,-0.11259667,-0.3845982,-0.19396693,-0.50977576,-0.2725709
1,6,1,10,13,1,3,1,1,1,1,1,2,0.46366087,2.3974981,-0.3662736,-0.19396693,-0.4136052,-0.2725709
1,3,1,5,3,1,2,1,1,2,1,2,2,-0.3289866,-0.31500894,-0.3665668,-0.19396693,-0.3289177,-0.2725709
1,2,1,2,1,1,2,1,1,2,2,2,1,-0.537093,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.5782229
1,7,1,1,0,1,4,1,1,2,1,2,2,-0.5166201,-0.31500894,0.78069955,-0.19396693,-0.3289177,-0.2725709
1,6,1,5,8,1,3,1,1,1,1,1,2,2.319148,0.5074049,-0.39049873,-0.19396693,3.6313,-0.2725709
1,6,1,5,5,1,4,1,1,1,1,1,2,-0.33732584,0.07249205,-0.31129983,-0.19396693,-0.6705385,-0.2725709
