SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA-MONTH
1,6,1,3,4,1,3,1,1,2,1,1,2,-0.38834506,-0.26139715,-0.58000165,-0.60494477,0.5376644,-0.26747382
1,2,1,1,1,1,3,1,1,2,1,1,1,-0.47354186,-0.26139715,-0.26395944,1.7740486,-0.21309008,-0.7642765
1,3,1,5,3,1,2,1,1,2,1,1,2,-0.12401651,-0.26139715,-0.6054826,-0.7635443,-0.21309008,-0.26747382
1,2,1,4,4,1,3,1,1,2,1,1,1,0.18181774,-0.26139715,-0.56400204,-1.5829754,6.346133,0.16051054
1,2,1,2,1,1,2,1,1,1,1,1,1,-0.42154998,-0.86409813,0.05866701,1.5890157,-0.21309008,-0.78131723
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.34334368,-0.26139715,0.41987693,-0.34061217,-0.21309008,-0.60632205
1,3,1,6,3,1,2,1,1,2,1,1,2,-0.3817919,-0.26139715,-0.5009911,-0.60494477,-0.21309008,-0.26747382
1,2,1,4,3,1,3,1,1,1,1,1,1,0.7716422,0.044736706,-0.022977231,-0.28774565,-0.21309008,0.71302325
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.44514292,-0.43359745,-0.36930683,-1.0014436,-0.21309008,-0.1980001
1,1,1,3,1,1,3,1,1,2,1,1,1,-0.014789837,-0.26139715,-0.26231337,-0.9221439,5.3582983,0.57997453
1,2,1,2,1,1,2,1,1,2,2,1,1,-0.56572914,-0.26139715,-0.36930683,0.029453466,5.2792716,-0.44705683
1,6,1,5,8,2,4,1,1,1,1,1,2,-0.27737075,0.74745303,-0.528974,0.8488845,-0.21309008,-0.26747382
1,2,1,3,3,1,2,1,1,2,2,1,1,-0.36081994,-0.26139715,-0.36930683,1.4832827,-0.21309008,-0.7033231
1,6,1,5,3,1,3,1,1,1,1,1,2,0.22332431,0.13170655,-0.36930683,-0.73711103,-0.21309008,-0.26747382
1,2,1,1,4,1,3,1,1,1,1,1,1,0.5750342,0.39261606,-0.58204275,-2.455273,-0.21309008,0.38531703
1,2,1,3,1,1,2,1,1,2,2,1,1,-0.43509406,-0.26139715,-0.36930683,0.3202193,-0.21309008,-0.40576586
1,2,1,2,1,1,2,1,1,2,2,1,1,-0.46939126,-0.26139715,-0.36930683,-0.023413053,-0.21309008,-0.46278673
1,2,1,3,1,1,3,1,1,1,1,1,1,0.22550884,-0.38228524,0.7126111,-1.4243758,-0.21309008,-0.3035215
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.11440456,-0.68059176,0.41757247,0.8488845,-0.21309008,0.6802526
1,6,1,6,8,1,3,1,1,1,1,1,2,-0.058480505,0.58394974,-0.6120668,-1.3715093,-0.21309008,-0.26747382
1,5,1,4,3,1,1,1,1,1,1,1,2,-0.40145224,-0.37619734,-0.58000165,0.87531775,-0.21309008,-0.26747382
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.30751732,-0.73799187,0.081711754,0.90175104,-0.21309008,0.17820667
1,2,1,4,5,1,3,1,1,1,1,1,1,2.8447645,1.5301816,-0.5240359,1.7211821,-0.21309008,0.77463204
1,6,1,10,11,1,3,1,1,1,1,1,2,0.5094982,2.2407253,-0.5339122,-0.86927736,-0.21309008,-0.26747382
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.32062453,-0.26139715,-0.31584305,-0.6578113,-0.21309008,-0.066262186
1,5,1,4,2,1,4,1,1,1,1,1,2,-0.36649972,0.4900223,-0.31116825,0.18805303,-0.21309008,-0.26747382
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.19392158,-0.6849403,-0.5042832,1.403983,4.4890037,-0.7419925
1,2,1,1,1,1,3,1,1,2,1,1,1,-0.39489865,-0.26139715,-0.11364184,0.24091955,-0.21309008,-0.0931341
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.3337317,-0.86844665,-0.06406272,0.21448629,-0.21309008,-0.24912228
1,5,1,5,3,1,2,1,1,2,1,1,2,-0.26426357,-0.26139715,-0.43514898,-0.20844586,-0.21309008,-0.26747382
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.39926773,-0.97368014,0.41237095,1.8269151,-0.21309008,-0.7328167
1,6,1,12,13,1,3,1,1,1,1,1,2,0.83499366,3.948813,-0.42757714,-0.86927736,-0.21309008,-0.26747382
1,6,1,5,8,1,3,1,1,1,1,1,2,2.453733,0.4378404,-0.5774338,-2.4288397,-0.21309008,-0.26747382
1,2,1,3,1,1,3,1,1,2,1,1,1,-0.34290677,-0.26139715,0.03726832,-1.2129097,-0.21309008,-0.26419675
1,2,1,3,1,1,2,1,1,2,2,1,1,-0.5093682,-0.26139715,-0.36930683,0.055886727,-0.21309008,-0.2825483
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.5653359,-0.5640522,-0.36930683,0.13518651,-0.21309008,-0.45688802
1,2,1,2,2,1,3,1,1,1,1,1,1,0.26919952,-0.48490962,-0.21102236,1.3775496,-0.21309008,-0.1036207
1,2,1,2,2,1,3,1,1,2,1,1,1,-0.27693385,-0.26139715,-0.26395944,1.7740486,-0.21309008,-0.2766496
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.21358238,-0.6962464,-0.04832645,1.6683155,-0.21309008,-0.27337253
1,3,1,5,6,1,3,1,1,1,1,1,2,0.529159,1.6101938,-0.5888904,-1.1336099,-0.21309008,-0.26747382
1,2,1,3,3,1,3,1,1,1,1,1,1,0.92455953,-0.30488205,2.8995574,1.6947488,-0.21309008,0.29093763
1,5,1,3,1,1,4,1,1,1,1,1,2,-0.4302881,-0.6649372,-0.43514898,-0.20844586,-0.21309008,-0.26747382
1,2,1,2,3,1,3,1,1,1,1,1,1,-0.102171175,-0.39011252,0.8158515,-1.0543102,-0.21309008,0.11725331
1,2,1,3,1,1,2,1,1,2,2,1,1,-0.49416384,-0.26139715,-0.36930683,0.055886727,-0.21309008,-0.17768231
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.21358238,-0.5788371,0.91263944,-0.631378,-0.21309008,-0.06232971
1,2,1,3,3,1,2,1,1,1,2,1,1,-0.45213342,-0.30314267,-0.36930683,-0.07627957,-0.21309008,-0.09182327
1,2,1,3,2,1,3,1,1,1,1,1,1,-0.0038671703,-0.35967305,0.45306137,-1.2657763,-0.21309008,0.20770024
1,3,1,7,3,2,2,1,1,1,2,1,2,-0.32106143,-0.104851425,-0.36930683,1.4304162,-0.21309008,-0.26747382
1,5,1,3,3,1,4,1,1,1,1,1,1,-0.42329758,-0.1779061,-0.5931701,0.87531775,-0.21309008,-0.73478293
1,3,1,9,6,1,2,1,1,1,1,1,2,0.1634681,1.1927387,-0.38201436,-0.20844586,-0.21309008,-0.26747382
1,2,1,4,4,1,3,1,1,1,1,1,1,0.46580753,0.74049544,-0.39248326,1.7476153,-0.21309008,-0.423462
1,5,1,3,4,1,4,1,1,1,1,1,2,-0.4302881,-0.54317945,-0.53173935,1.0074841,-0.21309008,-0.26747382
1,2,1,3,3,1,3,1,1,2,1,1,1,-0.080762744,-0.26139715,0.4912498,0.24091955,-0.21309008,1.0931625
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.26601118,-0.5483976,-0.3976848,1.6683155,-0.21309008,-0.3028661
1,2,1,3,4,1,3,1,1,1,1,1,1,-0.25727305,0.39261606,1.6010848,0.37308583,-0.21309008,2.5206509
1,5,1,4,2,1,2,1,1,1,1,1,2,-0.44077384,-0.14311816,-0.5339122,0.3202193,-0.21309008,-0.26747382
1,2,1,3,3,1,3,1,1,1,1,1,1,0.64380026,-0.504043,-0.5339122,-1.1336099,-0.21309008,-0.4083875
1,2,1,4,6,1,3,1,1,1,1,1,1,0.87868434,0.6535256,0.12793294,-0.15557934,-0.21309008,3.38514
1,2,1,2,3,1,3,1,1,1,1,1,1,0.3347355,-0.6118856,2.8995574,1.6947488,-0.21309008,-0.051187698
1,6,1,4,6,1,4,1,1,1,1,1,1,-0.23979679,1.001405,-0.43356878,1.3511164,-0.21309008,-0.8796291
1,2,1,3,2,1,3,1,1,2,1,1,1,-0.32062453,-0.26139715,-0.52732795,-1.2129097,-0.21309008,-0.65875506
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.51330036,-0.47708234,0.49157903,0.24091955,-0.21309008,1.2543939
1,2,1,3,4,1,3,1,1,1,1,1,1,1.4270022,0.73353785,-0.008228594,-2.455273,-0.21309008,1.0014048
1,2,1,3,1,1,2,1,1,2,2,1,1,-0.50456226,-0.26139715,-0.36930683,-0.07627957,-0.21309008,-0.3126973
1,3,1,11,9,1,1,1,1,1,1,1,2,-0.037072077,2.9321356,-0.5545208,-0.5785115,-0.21309008,-0.26747382
1,2,1,1,1,1,3,1,1,2,1,1,1,-0.43902624,-0.26139715,-0.025874285,-0.73711103,-0.21309008,-0.34481248
1,6,1,10,12,1,3,1,1,1,1,1,2,0.007055497,5.1759577,-0.5404964,-0.60494477,-0.21309008,-0.26747382
1,2,1,2,3,1,3,1,1,1,1,1,1,0.7716422,-0.42142165,2.8995574,1.6947488,-0.21309008,0.22474095
1,2,1,3,1,1,3,1,1,2,1,1,1,-0.52597064,-0.26139715,0.22327234,0.08231998,-0.21309008,-0.24715604
1,2,1,3,4,1,4,1,1,1,1,1,1,-0.5307766,-0.3466276,-0.62279904,0.24091955,-0.21309008,-0.49948984
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.4302881,-0.26139715,-0.5359533,-0.86927736,-0.21309008,-0.08657997
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.3905296,-0.26139715,0.95918983,0.47881886,-0.21309008,-0.18554726
1,5,1,3,3,1,4,1,1,1,1,1,1,-0.44077384,0.05256399,-0.61753166,0.90175104,-0.21309008,-0.74526954
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.50456226,-0.26139715,1.2856351,0.2673528,-0.21309008,-0.47392875
1,3,1,5,7,1,2,1,1,2,1,1,2,-0.36038303,-0.26139715,-0.41921517,0.18805303,-0.21309008,-0.26747382
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.36431518,-0.26139715,-0.56400204,-1.7680082,-0.21309008,-0.49293572
1,3,1,6,5,1,3,1,1,1,1,1,2,0.1376906,1.001405,-0.56683326,-1.4243758,-0.21309008,-0.26747382
1,5,1,4,5,1,2,1,1,2,1,1,2,-0.3862042,-0.26139715,-0.56683326,-0.73711103,-0.21309008,-0.26747382
1,2,1,3,1,1,4,1,1,1,2,1,1,-0.5303834,-0.651022,-0.36930683,-0.049846314,-0.21309008,-0.34088
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.53960216,-0.86844665,0.7335489,-0.07627957,-0.21309008,-0.59059215
1,2,1,2,2,1,2,1,1,1,2,1,1,-0.30314824,-0.55709463,-0.36930683,1.0074841,-0.21309008,-0.2242166
1,2,1,5,6,1,3,1,1,1,1,1,1,6.560656,2.1876738,2.8419454,-1.2657763,-0.21309008,3.486729
1,2,1,2,1,1,1,1,1,1,2,2,2,-0.55436957,-0.7814768,-0.36930683,-0.023413053,-0.21309008,-0.26747382
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.38834506,-0.75277674,2.1116247,0.9281843,-0.21309008,-0.3972455
1,4,1,9,3,1,4,1,1,1,1,1,2,-0.31669235,0.19084604,-0.45226792,-1.1336099,-0.21309008,-0.26747382
