SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,NEXT OPEN HOUSE START TIME,SOURCE,FAVORITE,INTERESTED,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,$-SQUARE FEET,HOA-MONTH
1,3,1,8,10,1,17,2,1,1,-0.00086499815,1.0487772,-0.44225115,-0.45134574,-0.7688415,-0.024021009
1,2,1,3,3,1,17,3,1,1,-0.47858,-0.41059843,1.9110329,0.047160972,-1.0849345,-0.2629637
1,2,1,3,1,1,17,3,1,1,-0.20693019,-0.7681129,-0.43126634,1.4114951,0.5090772,-0.8991686
1,2,1,3,1,1,9,2,1,1,-0.48667687,-0.6500272,-0.047461137,0.20458414,-0.9690337,-0.4416152
1,2,1,3,2,1,17,2,1,1,-0.43404725,-0.6874889,-0.047461137,0.20458414,-0.7101385,-0.6858151
1,3,1,7,6,1,17,2,1,1,-0.40530378,0.023817642,-0.3500571,-0.5825317,-0.015896793,-0.024021009
1,3,1,8,8,1,14,2,1,1,-0.20490599,0.023817642,-0.44731557,-1.3958848,-0.015896793,-0.024021009
1,6,1,6,3,1,7,4,1,1,-0.22798204,0.4493908,-0.34367308,-0.45134574,-0.88925785,-0.024021009
1,2,1,2,2,1,3,3,1,1,0.7889841,-0.45783266,1.3813007,-1.2384616,3.0649147,0.094981864
1,2,1,1,1,1,17,3,1,1,-0.40570822,0.023817642,0.23745252,1.7263415,-0.015896793,-0.79827553
1,5,1,6,6,1,15,2,1,1,-0.29680538,0.023817642,-0.47228107,-0.7137177,-0.015896793,-0.024021009
1,2,1,3,1,1,17,2,1,1,-0.49922702,0.023817642,-0.047461137,0.073398165,-0.015896793,-0.44868416
1,2,1,1,1,1,17,2,1,1,-0.57452786,-1.0621054,-0.047461137,0.3095329,-1.0518199,-0.75136346
1,2,1,3,1,1,17,2,1,1,-0.51461107,0.023817642,-0.047461137,-0.0053134165,-0.015896793,-0.54122305
1,2,1,5,3,1,17,3,1,1,-0.14215527,-0.33241758,-0.17654686,-1.3696475,-0.15471801,-0.560502
1,2,1,3,1,1,17,3,1,1,-0.34498173,0.023817642,-0.13792166,-1.1859872,-0.015896793,-0.43069047
1,2,1,3,1,1,17,4,1,1,-0.4664347,-0.5734752,-0.50081307,-0.084025,-0.94796085,-0.40691313
1,2,1,5,3,1,17,2,1,1,-0.42595038,-0.41059843,-0.047461137,0.23082134,-0.92237234,-0.21540901
1,2,1,2,1,1,17,4,1,1,-0.5065146,-0.65491354,-0.5043796,0.28329572,-1.0473044,-0.5990599
1,2,1,6,6,1,15,3,1,1,-0.02110716,0.023817642,-0.45366395,-0.84490365,-0.015896793,0.9728161
1,2,1,2,1,1,7,3,1,1,-0.4138051,-0.97415197,-0.3735247,1.6738671,0.01838051,-0.7397961
1,2,1,2,2,1,17,3,1,1,-0.12191312,-0.5832478,-0.017480938,1.4377323,0.35554633,-0.41655257
1,2,1,5,3,1,17,2,1,1,-0.37332076,0.023817642,3.9287093,0.9129884,-0.015896793,-0.65175563
1,2,1,1,1,1,17,3,1,1,-0.36522388,-1.1044533,-0.29598895,0.88675123,1.2586691,-0.36000103
1,6,1,10,13,1,17,3,1,1,5.8487144,5.127211,-0.46450612,-1.3434104,1.4618717,-0.024021009
1,5,1,3,2,1,17,1,1,1,-0.41744867,-0.5734752,-0.459941,0.9129884,-0.7658311,-0.024021009
1,2,1,1,1,1,17,3,1,1,-0.36522388,-0.88456976,0.33624458,-0.6087689,0.03192735,-0.487242
1,2,1,3,1,1,17,3,1,1,0.18171929,-0.48470736,0.22789429,-1.3958848,1.1653464,-0.46924835
1,2,1,2,1,1,17,3,1,1,0.080508485,-0.8169759,1.4125075,1.7001042,2.2084532,-0.37092578
1,2,1,2,2,1,17,3,1,1,-0.2838504,-0.7363519,-0.29598895,0.88675123,0.051495012,0.051282946
1,2,1,3,3,1,17,3,1,1,-0.1020758,0.023817642,0.10798855,0.25705853,-0.015896793,0.9001988
1,2,1,3,1,1,17,2,1,1,-0.43040365,0.023817642,-0.047461137,0.33577013,-0.015896793,-0.56949884
1,2,1,2,1,1,17,3,1,1,-0.31218943,-0.81779027,-0.113847785,0.9129884,0.12826045,0.0030856025
1,3,1,8,6,1,17,1,1,1,-0.1020758,0.04545647,-0.4651481,-0.7137177,-0.4376965,-0.024021009
1,2,1,3,3,1,17,3,1,1,0.080508485,-0.28844085,-0.46946356,0.7818024,0.40220767,0.86421144
1,2,1,2,1,1,17,3,1,1,-0.52675635,-0.7567115,0.3997283,0.073398165,-1.0623564,-0.6446867
1,2,1,6,7,1,17,3,1,1,6.0519457,1.9217964,1.3813007,-1.2384616,4.5625935,3.2470882
1,2,1,3,1,1,5,2,1,1,-0.49477372,0.023817642,-0.047461137,-0.057787806,-0.015896793,-0.47824517
1,6,1,7,6,1,17,3,1,1,0.04002417,0.32234693,-0.4471729,-0.47758293,-0.36544666,-0.024021009
1,3,1,7,3,1,17,2,1,1,-0.32433474,0.023817642,-0.4605473,-0.11026219,-0.015896793,-0.024021009
1,2,1,2,2,1,17,3,1,1,-0.26401308,0.023817642,-0.17982805,0.5981421,-0.015896793,-0.20448428
1,2,1,5,3,1,17,3,1,1,-0.107743606,-0.33974704,0.37297955,-0.63500607,-0.046343286,-0.51808834
1,2,1,3,5,1,17,3,1,1,1.2950382,0.560147,-0.16256618,-2.4191353,1.4407989,0.81023043
1,2,1,6,9,1,17,3,1,1,3.4184406,0.9795546,-0.27608788,1.254072,3.6263561,1.9354777
1,5,1,3,1,1,17,2,1,1,-0.39923072,-0.81534714,-0.44731557,-0.5825317,-0.33835298,-0.024021009
1,2,1,2,1,1,17,3,1,1,-0.22514814,-0.6687581,0.33624458,-0.6087689,0.1478281,-0.23276006
1,2,1,3,3,1,13,3,1,1,0.12099281,-0.57510394,-0.04430102,1.7263415,1.2421118,-0.2565374
1,3,1,7,6,1,17,2,1,1,-0.06159148,0.023817642,-0.4651481,-1.3958848,-0.015896793,-0.024021009
1,2,1,1,1,1,15,3,1,1,-0.3233631,-0.97008,0.07952788,0.6243793,0.6595977,-0.4949536
1,2,1,3,1,1,17,4,1,1,-0.51869994,-0.7363519,-0.047461137,-0.031550612,-1.0412835,-0.5058783
1,2,1,1,1,1,17,2,1,1,-0.53930646,0.023817642,-0.047461137,0.047160972,-0.015896793,-0.8304071
1,2,1,5,6,1,17,3,1,1,-0.040944476,0.023817642,-0.49410805,-1.3958848,-0.015896793,-0.024021009
1,2,1,5,5,1,17,3,1,1,0.24244578,-0.054712728,-0.033779845,1.4639695,0.42779616,-0.004625972
1,2,1,2,1,1,17,1,1,1,-0.42595038,-0.7363519,-0.047461137,1.5426811,-0.6092898,-0.024021009
1,2,1,2,1,1,17,3,1,1,-0.42999882,0.023817642,2.2318397,0.28329572,-0.015896793,-0.5810662
1,3,1,11,8,1,17,1,1,1,-0.11179204,1.2165403,-0.44731557,-0.5825317,-0.94796085,-0.024021009
1,5,1,6,3,1,17,2,1,1,-0.27210996,0.023817642,-0.39381808,-0.18897378,-0.015896793,-0.024021009
1,5,1,6,5,1,17,2,1,1,-0.12191312,0.023817642,-0.44856384,-0.057787806,-0.015896793,-0.024021009
1,2,1,1,5,1,17,3,1,1,0.5055939,0.24090856,-0.4733867,-2.4191353,0.55874896,0.20615707
1,6,1,5,7,1,17,4,1,1,-0.24943873,0.81097716,-0.3929621,1.3590207,-1.0277367,-1.0341212
1,2,1,3,3,1,17,3,1,1,-0.15025215,-0.6809738,-0.45623183,-0.5562945,0.49703556,-0.5476494
1,5,1,6,2,1,17,4,1,1,-0.32473958,0.2042613,-0.32783782,-0.45134574,-0.9720441,-0.024021009
1,3,1,6,6,1,17,2,1,1,-0.24943873,0.2604538,-0.42235008,-0.18897378,-0.85313296,-0.024021009
1,5,1,5,3,1,17,4,1,1,-0.39518228,-0.5213546,-0.39891815,-0.84490365,-0.735727,-0.024021009
1,2,1,2,1,1,17,3,1,1,-0.34538656,0.023817642,0.06932768,-0.32015976,-0.015896793,-0.766144
1,2,1,5,5,1,17,3,1,1,0.40438306,0.5666621,-0.37070715,1.7525786,0.051495012,-0.58684987
1,2,1,3,3,1,17,3,1,1,-0.34498173,-0.4513176,-0.0015030153,-0.37263414,-0.6333731,-0.25525215
1,2,1,2,2,1,17,3,1,1,0.09062957,0.023817642,-0.09066553,-0.66124326,-0.015896793,5.5419245
1,2,1,6,6,1,17,3,1,1,0.68777335,0.023817642,-0.14255811,-0.79242927,-0.015896793,2.9591894
1,2,1,3,1,1,17,2,1,1,-0.4498766,-0.6907464,-0.047461137,-0.057787806,-0.7748623,-0.50202256
1,6,1,6,8,1,17,3,1,1,2.8132002,1.0162019,-0.49910116,-2.524084,2.7849464,-0.024021009
1,2,1,2,1,1,17,2,1,1,-0.4963931,0.023817642,-0.047461137,0.073398165,-0.015896793,-0.5650004
1,2,1,2,1,1,17,3,1,1,-0.30449742,-0.78521496,-0.44731557,-0.5562945,0.07708349,-0.82333815
1,2,1,3,3,1,7,3,1,1,-0.27372932,-0.6402546,-0.3735247,1.6738671,-0.11407749,-0.46860573
1,5,1,3,1,1,17,4,1,1,-0.4822236,-0.7624122,-0.5079461,0.9917,-0.84259653,-0.024021009
1,5,1,5,2,1,17,2,1,1,-0.43566662,-0.2607518,-0.44731557,0.33577013,-1.0322523,-0.024021009
1,2,1,2,1,1,13,3,1,1,-0.233245,-0.69563276,0.08669654,0.17834695,0.1779322,-0.5810662
1,3,1,7,10,1,12,2,1,1,-0.1826396,0.023817642,-0.44731557,1.8312902,-0.015896793,-0.024021009
1,2,1,2,2,1,17,3,1,1,-0.2838504,0.023817642,-0.30108905,1.7788159,-0.015896793,-0.44290048
1,2,1,3,2,1,17,3,1,1,-0.030823397,-0.46353337,0.08730285,-1.2384616,0.4082285,0.032004006
1,5,1,8,8,1,17,2,1,1,-0.049851026,0.7946895,-0.23332554,-0.32015976,-0.74626344,-0.024021009
1,3,1,9,3,1,17,2,1,1,-0.00046015493,0.023817642,-0.42502496,-1.1072756,-0.015896793,-0.024021009
1,2,1,3,2,1,17,3,1,1,0.2829301,-0.69970465,1.4125075,1.7001042,2.4598224,-0.26232108
1,3,1,7,7,1,17,1,1,1,-0.066044755,0.5666621,-0.42438298,-1.3958848,-0.6785292,-0.024021009
1,2,1,3,3,1,17,3,1,1,0.68777335,-0.41222718,1.4125075,1.7001042,2.5350826,0.18752076
1,2,1,3,3,1,17,3,1,1,0.058242112,0.15132636,-0.36039996,-0.66124326,-0.19836895,1.0981292
1,2,1,2,1,1,17,3,1,1,-0.4053034,0.023817642,0.32304853,0.3095329,-0.015896793,0.023007171
1,3,1,7,6,1,17,3,1,1,0.100345805,0.81097716,-0.4651481,-1.3958848,-0.54607123,-0.024021009
1,6,1,5,1,1,17,3,1,1,-0.43161818,-0.14510933,-0.4874387,-1.3434104,-1.0698824,-0.024021009
1,2,1,1,1,1,17,3,1,1,-0.4680541,0.023817642,1.1246195,0.047160972,-0.015896793,-0.548292
1,6,1,7,7,1,15,3,1,1,0.3841409,1.2181691,-0.38668507,-1.1072756,-0.3729727,-0.024021009
1,2,1,2,1,1,7,3,1,1,-0.49477372,0.023817642,0.53828686,0.28329572,-0.015896793,-0.63633245
1,5,1,5,2,1,17,4,1,1,-0.36522388,-0.27378196,-0.38953826,0.073398165,-0.8350705,-0.024021009
1,2,1,3,1,1,17,2,1,1,-0.48513845,0.023817642,-0.047461137,0.073398165,-0.015896793,-0.34586316
1,2,1,3,3,1,17,3,1,1,-0.22919658,-0.4757491,-0.19766054,1.5951555,-0.22546263,-0.81112814
1,2,1,2,1,1,17,3,1,1,-0.33243158,0.023817642,0.06526187,1.8312902,-0.015896793,-0.8239808
1,6,1,6,6,1,17,4,1,1,-0.33283645,-0.10520452,-0.39381808,-0.84490365,-0.85162777,-0.024021009
1,3,1,10,3,2,17,2,1,1,-0.14215527,0.7295388,-0.44731557,-1.3434104,-0.85313296,-0.024021009
1,2,1,3,5,1,17,3,1,1,0.4853517,0.15214074,-0.41700032,1.385258,0.64003,0.4908427
1,2,1,3,1,1,17,3,1,1,-0.29397148,0.023817642,-0.3427101,-1.0548012,-0.015896793,-0.47760254
1,2,1,6,7,1,17,3,1,1,1.902303,0.023817642,-0.25472456,1.7525786,-0.015896793,1.1084113
1,2,1,5,3,1,17,3,1,1,0.68777335,-0.084844925,-0.17055514,-0.26768535,1.508533,0.5274727
1,2,1,1,1,1,17,2,1,1,-0.4437635,0.023817642,-0.047461137,0.008801246,-0.015896793,-0.57978094
1,6,1,6,3,1,11,3,1,1,0.17969508,-0.0034065535,-0.35815307,-0.7137177,0.21857272,-0.024021009
1,2,1,2,1,1,17,2,1,1,-0.5571196,-0.7770711,-0.047461137,-0.084025,-1.1978248,-0.5752825
1,2,1,3,1,1,17,2,1,1,-0.14215527,-0.32916003,-0.047461137,-1.0023268,-0.15923363,0.067348726
1,2,1,2,2,1,17,3,1,1,-0.39761135,-0.65491354,-0.047461137,1.6476299,-0.5972482,-0.7860655
1,3,1,7,6,1,17,2,1,1,0.0076367096,0.6969634,-0.44999045,-0.5825317,-0.62584704,-0.024021009
1,5,1,8,8,2,17,2,1,1,-0.22316927,0.61308193,-0.43090966,0.12587255,-0.9359192,-0.024021009
1,2,1,2,1,1,11,3,1,1,-0.34498173,-0.8096464,-0.11563103,-0.057787806,-0.06591095,-0.24368478
1,2,1,3,3,1,17,2,1,1,-0.3737256,-0.4325868,-0.17554824,1.4902067,-0.743253,-0.82333815
1,2,1,2,3,1,17,3,1,1,0.3841409,0.023817642,-0.10963931,-0.9236152,-0.015896793,0.98759663
1,5,1,5,6,1,17,1,1,1,-0.16239744,-0.16954084,-0.4294831,0.33577013,-0.39103514,-0.024021009
1,2,1,2,1,1,17,2,1,1,-0.5514518,0.023817642,-0.047461137,0.047160972,-0.015896793,-0.6099846
