SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.42955014,-0.6306219,-0.09380218,0.19073434,-0.17241736,-0.17504941
1,2,1,5,5,1,3,1,1,2,1,1,2,-0.01777008,-0.28526136,-0.38345963,-0.8758157,-0.17241736,-0.25572756
1,2,1,3,2,1,2,1,1,2,2,1,2,-0.55662477,-0.28526136,-0.2777154,-0.095413215,-0.17241736,-0.25572756
1,5,1,3,3,1,1,1,1,1,1,1,1,-0.3766832,-0.22200224,-0.41584548,-0.6156815,-0.17241736,-0.52440804
1,2,1,3,3,1,3,1,1,1,1,1,1,0.023941446,-0.31432635,0.9917779,1.1792442,-0.17241736,0.63321257
1,2,1,3,4,1,3,1,1,1,1,1,1,1.3650155,-0.023676358,1.5163054,1.6474856,-0.17241736,2.9262488
1,2,1,4,3,1,2,1,1,1,2,2,1,-0.51733834,0.08916423,-0.2777154,0.008640442,-0.17241736,-0.9936737
1,2,1,2,1,1,2,1,1,2,2,1,2,-0.55807984,-0.28526136,-0.2777154,-0.069399804,-0.17241736,-0.25572756
1,3,1,7,7,1,1,1,1,1,1,1,1,-0.026985416,0.76278836,-0.38353223,-0.6937218,-0.17241736,-0.51108503
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.28404483,-0.77167267,-0.1238644,1.361338,-0.17241736,0.89967257
1,2,1,5,7,1,3,1,1,1,1,1,1,1.8476082,0.8816129,-0.28230825,1.4133649,-0.17241736,1.6916509
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.38104838,-0.28526136,-0.2567481,-0.66770834,-0.17241736,-0.25572756
1,3,1,5,6,1,3,1,1,1,1,1,1,0.5623111,1.6176412,-0.40731335,-1.1359499,-0.17241736,-0.2505464
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.6720595,-0.7332043,-0.2777154,-0.6156815,-0.17241736,-1.0824937
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.15212,-0.63404137,0.14767584,0.8150563,-0.17241736,0.93668085
1,3,1,6,6,1,1,1,1,1,1,1,1,-0.071607046,0.76278836,-0.35365155,-1.4220974,-0.17241736,-0.56881803
1,2,1,2,2,1,3,1,1,1,2,1,1,-0.46883658,-0.5194911,-0.2777154,1.5954587,-0.17241736,-0.48888007
1,2,1,4,3,1,3,1,1,1,1,1,1,0.6374889,0.1276326,-0.37699696,-1.4220974,-0.17241736,1.1217226
1,6,1,5,6,1,3,1,1,1,1,1,1,0.079718485,1.0363413,-0.42274383,-1.7082449,-0.17241736,-0.4992424
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.62413925,-0.8186896,0.32191327,-0.095413215,-0.17241736,-0.75534004
1,2,1,4,4,1,3,1,1,2,1,1,2,0.17672154,-0.28526136,-0.3935893,-1.5781779,4.213986,-0.25572756
