SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.3669184,-0.73525804,0.7128093,-0.59975827,-0.21463843,0.23669036,-0.33829135
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.33578172,-0.6388807,-0.13703533,1.5375638,-0.21463843,0.13746159,-0.7315976
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.5308777,-0.7894205,0.5583953,-0.06542778,-0.21463843,-0.6232922,-0.6084012
1,2,1,4,1,3,1,1,1,1,1,1,1,0.7990691,0.604466,0.03622626,-0.1417607,-0.21463843,0.9125964,3.3879066
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.48982644,-0.4564807,1.4922594,-0.1417607,1.8929346,-0.75415915,-0.4087834
1,3,1,6,1,1,1,1,1,1,1,1,2,-0.10024896,0.7796975,-0.56280917,-1.312199,-0.21463843,-0.531254,-0.27636373
1,3,1,4,1,1,1,1,1,1,1,1,2,-0.29071543,0.0660276,-0.56280917,0.18901531,-0.21463843,-0.53413016,-0.27636373
1,7,1,1,1,4,1,1,2,1,2,2,2,-0.5103111,-0.2732842,1.242245,-0.039983474,-0.21463843,-0.35868222,-0.27636373
1,6,1,5,1,3,1,1,1,1,1,1,2,2.2760139,0.4069324,-0.5719491,-2.3299713,-0.21463843,3.7025065,-0.27636373
1,2,1,3,1,3,1,1,1,1,1,1,1,1.149357,-0.048669353,2.4259531,1.639341,-0.21463843,2.9532573,0.7052549
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.26449504,-0.2732842,-0.108650394,0.57067996,2.2881045,-0.35868222,-0.048417382
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.34643373,-0.66197944,-0.0064646667,-0.06542778,-0.21463843,0.14321399,-0.08860445
1,2,1,3,1,3,1,1,1,1,1,1,1,0.8420869,-0.2732842,2.4259531,1.639341,-0.21463843,3.048172,0.27769083
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.38904187,-0.6834851,1.7465882,0.901456,-0.21463843,-0.020729186,-0.41405386
1,6,1,4,1,4,1,1,1,1,1,1,2,-0.1412183,0.8832433,-0.5582676,0.061793767,-0.21463843,-0.6218541,-0.27636373
1,5,1,5,1,2,1,1,1,1,1,1,2,0.1251234,1.4009726,0.0048893034,-0.7015355,-0.21463843,-0.46653956,-0.27636373
1,2,1,2,1,2,1,1,2,2,1,2,1,-0.37879953,-0.2732842,-0.37876132,-0.59975827,-0.21463843,-0.35868222,-0.45753494
1,6,1,10,1,3,1,1,1,1,1,1,2,0.45287815,2.0580904,-0.53442425,-0.8287571,-0.21463843,-0.3500536,-0.27636373
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.49802032,-0.2732842,1.0344105,0.26534826,-0.21463843,-0.35868222,-0.49113396
1,5,1,5,1,2,1,1,1,1,1,1,2,-0.28497973,0.15364331,-0.44926947,-0.06542778,2.979652,-0.5686445,-0.27636373
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.028511642,-0.32346413,0.31655577,-1.2104217,-0.21463843,0.59621483,0.19402266
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.12069266,-0.08132612,-0.5207427,0.51979136,-0.21463843,-0.023605382,-0.7315976
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.36650872,-0.2732842,-0.56036806,-1.6938636,-0.21463843,-0.35868222,-0.5102393
1,6,1,6,1,3,1,1,1,1,1,1,2,0.39142412,1.321322,-0.4379155,-1.0832002,-0.21463843,-0.150158,-0.27636373
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.13216408,-0.617375,0.28595683,0.8251231,-0.21463843,1.0204537,0.66902065
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.4283724,-0.2732842,-0.53618413,-0.8287571,-0.21463843,-0.35868222,-0.10178054
1,5,1,4,1,4,1,1,1,1,1,1,2,-0.36855718,0.4547228,-0.34237185,0.18901531,-0.21463843,-0.83469266,-0.27636373
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.52633506,-0.7233104,-0.37876132,-0.19264933,-0.21463843,-0.68225425,-0.48783994
1,2,1,3,1,2,1,1,2,2,1,2,1,-0.50252694,-0.2732842,-0.37876132,0.061793767,-0.21463843,-0.35868222,-0.29876307
1,5,1,4,1,1,1,1,1,1,1,1,2,-0.40133265,-0.33859774,-0.57416314,0.8505674,-0.21463843,-0.5456349,-0.27636373
1,2,1,4,1,3,1,1,1,1,1,1,1,0.69869417,0.046911437,-0.093890235,-0.26898226,-0.21463843,1.6474645,0.70196086
1,2,1,3,1,3,1,1,2,1,1,2,1,-0.020317772,-0.2732842,0.73154336,-0.090872094,-0.21463843,-0.35868222,1.4865971
1,2,1,4,1,3,1,1,1,1,1,1,1,0.3484063,0.47144943,-0.1058119,1.2831206,-0.21463843,0.3416715,1.0728678
1,6,1,5,1,3,1,1,1,1,1,1,2,0.06366938,0.9389988,-0.6059543,-1.642975,-0.21463843,-0.3745013,-0.27636373
1,2,1,4,1,3,1,1,1,1,1,1,1,2.6426895,1.4073447,-0.52590877,1.6647853,-0.21463843,2.2025702,0.7638885
1,5,1,5,1,2,1,1,2,1,1,2,2,-0.12069266,-0.2732842,-0.5364112,-0.06542778,-0.21463843,-0.35868222,-0.27636373
1,7,1,1,1,4,1,1,2,1,2,2,2,-0.34643373,-0.2732842,-0.08026547,-0.039983474,-0.21463843,-0.35868222,-0.27636373
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.40788776,-0.2732842,0.55555683,1.6647853,-0.21463843,-0.35868222,-0.6571527
1,5,1,4,1,1,1,1,1,1,1,1,2,-0.30956134,-0.13469206,-0.56280917,-0.7015355,-0.21463843,-0.4464062,-0.27636373
1,2,1,3,1,2,1,1,2,2,1,2,1,-0.45668715,-0.2732842,-0.37876132,0.18901531,-0.21463843,-0.35868222,-0.23683545
1,2,1,3,1,4,1,1,1,1,1,1,1,-0.5226019,-0.31151652,-0.61106354,0.23990394,-0.21463843,-0.9367976,-0.51682734
1,4,1,9,1,4,1,1,1,1,1,1,2,-0.32185215,0.18072455,-0.46402964,-1.0832002,-0.21463843,-0.6563685,-0.27636373
1,6,1,4,1,3,1,1,2,1,1,2,2,-0.3054644,-0.2732842,-0.53442425,-0.7015355,-0.04998429,-0.35868222,-0.27636373
1,2,1,2,1,2,1,1,1,2,1,1,1,-0.5611131,-0.63011914,-0.37876132,-0.090872094,-0.21463843,-0.9382357,-0.42854753
1,5,1,4,2,4,1,1,1,1,1,1,2,-0.48163256,-0.18248245,-0.5139871,-0.7015355,-0.21463843,-0.86920696,-0.27636373
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.4612708,-0.549672,-0.37876132,0.8505674,-0.21463843,-0.5657683,-0.7724435
1,2,1,3,1,4,1,1,1,1,1,1,1,0.14151113,-0.23186587,1.0718218,0.87601167,-0.21463843,0.90109164,0.009557409
1,5,1,3,1,4,1,1,1,1,1,1,2,-0.4283724,-0.491527,-0.5325509,0.9777889,-0.21463843,-0.49673963,-0.27636373
1,3,1,6,1,2,1,1,2,1,1,2,2,-0.059648342,-0.2732842,-0.56280917,-1.3630877,-0.21463843,-0.35868222,-0.27636373
1,2,1,2,1,4,1,1,1,1,1,1,1,-0.5099018,-0.5106432,-0.625256,0.26534826,-0.21463843,-0.7944259,-0.4529233
1,2,1,2,1,2,1,1,1,2,1,1,1,-0.518505,-0.66994447,-0.37876132,-0.014539162,-0.21463843,-0.6995114,-0.53527385
1,2,1,1,1,3,1,1,1,1,1,1,1,0.5143322,0.36551407,-0.575923,-2.3554156,-0.21463843,0.7400246,0.37255865
1,6,1,6,1,3,1,1,1,1,1,1,2,-0.07972332,0.5407455,-0.6018101,-1.312199,-0.21463843,-0.39894897,-0.27636373
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.12069266,-0.35134184,0.62935764,-1.0068673,-0.21463843,0.3603668,0.10310764
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.33373323,-0.2732842,0.281472,1.7665626,-0.21463843,-0.35868222,-0.6835049
1,2,1,2,1,2,1,1,2,2,1,2,1,-0.55537736,-0.2732842,-0.37876132,0.036349457,4.3627467,-0.35868222,-0.46412298
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.58979166,-0.54887545,0.60347056,-1.2358661,-0.21463843,-1.0964265,-0.15777892
1,2,1,2,1,2,1,1,1,2,1,1,1,-0.30915165,-0.5042711,-0.37876132,0.9777889,-0.21463843,-0.022167284,-0.24012947
1,2,1,3,1,3,1,1,2,1,1,2,1,-0.09611106,-0.2732842,-0.5486167,-0.54886967,-0.21463843,-0.35868222,-0.34883222
1,3,1,5,1,1,1,1,2,1,2,2,2,-0.3603633,-0.2732842,-0.5358435,-0.039983474,-0.21463843,-0.35868222,-0.27636373
1,5,1,4,1,1,1,1,1,1,1,1,2,-0.16166201,-0.035925247,-0.5060393,0.31623688,-0.21463843,-0.16741517,-0.27636373
1,5,1,5,1,4,1,1,1,1,1,1,2,-0.32594907,0.32967126,-0.34424525,-0.44709244,-0.21463843,-0.722521,-0.27636373
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.4488571,-0.2716912,-0.37876132,-0.06542778,-0.21463843,-0.73546386,-0.10705098
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.46934178,-0.2732842,0.06472472,-0.574314,-0.21463843,-0.35868222,-0.31391558
1,3,1,8,1,1,1,1,1,1,1,1,2,-0.02236624,1.5244311,-0.53726274,-0.3198709,-0.21463843,-0.6534923,-0.27636373
1,2,1,3,1,3,1,1,1,1,1,1,1,0.28900078,-0.55445105,2.4259531,1.639341,-0.21463843,2.5563424,-0.10770978
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.32553938,-0.2732842,-0.34640253,-0.6252026,-0.21463843,-0.35868222,-0.081357606
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.34643373,-0.2732842,0.26234058,0.7233458,-0.21463843,-0.35868222,0.5385774
1,2,1,3,1,3,1,1,1,1,1,1,1,0.5757862,-0.18088944,0.13074806,1.384898,-0.21463843,1.9552175,0.60314023
1,2,1,5,1,3,1,1,1,1,1,1,1,3.0503345,1.2926477,0.13563026,-0.3198709,-0.21463843,2.8123238,1.6229695
1,3,1,6,1,2,1,1,2,1,1,2,2,-0.18214668,-0.2732842,-0.53442425,1.7665626,-0.21463843,-0.35868222,-0.27636373
1,2,1,5,1,3,1,1,1,1,1,1,1,6.127132,2.0095036,2.3762794,-1.2104217,-0.21463843,4.5653653,3.4900215
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.10225646,-0.39674273,3.9318302,0.87601167,-0.21463843,0.51280516,-0.3896781
1,2,1,2,1,2,1,1,2,2,1,2,1,-0.5307958,-0.2732842,-0.37876132,-0.06542778,-0.21463843,-0.35868222,-0.53593266
1,2,1,4,1,3,1,1,2,1,1,2,1,0.5757862,-0.2732842,-0.1909099,0.26534826,-0.21463843,-0.35868222,3.1533723
1,2,1,3,1,4,1,1,1,2,1,1,1,-0.5222332,-0.5902938,-0.37876132,-0.039983474,-0.21463843,-0.7886735,-0.35739666
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.2743277,-0.49630603,-0.41696745,1.6138967,-0.21463843,0.09719485,-0.319186
1,6,1,5,1,3,1,1,1,1,1,1,2,0.18452895,0.12656209,-0.39249963,-0.7015355,-0.21463843,0.4150145,-0.27636373
1,6,1,5,2,4,1,1,1,1,1,1,2,-0.28497973,0.69048876,-0.5301665,0.8251231,-0.21463843,-0.7656639,-0.27636373
1,3,1,6,1,2,1,1,2,1,1,2,2,-0.32553938,-0.2732842,-0.5554859,-0.1163164,-0.21463843,-0.35868222,-0.27636373
1,2,1,5,1,3,1,1,2,1,1,2,1,0.69869417,-0.2732842,-0.049325902,-0.77786845,-0.21463843,-0.35868222,3.194877
1,5,1,5,1,2,1,1,2,1,1,2,2,-0.27268893,-0.2732842,-0.44926947,-0.19264933,-0.21463843,-0.35868222,-0.27636373
1,3,1,6,1,2,1,1,1,1,1,1,2,0.010409235,0.81155777,-0.538682,-0.574314,-0.21463843,-0.39175847,-0.27636373
1,5,1,4,1,2,1,1,2,1,1,2,2,-0.3603633,-0.2732842,-0.56280917,-0.574314,-0.21463843,-0.35868222,-0.27636373
1,2,1,3,1,3,1,1,1,1,1,1,1,0.10422903,-0.11238988,0.5207569,0.79967874,-0.21463843,0.5746434,1.4865971
1,5,1,4,1,2,1,1,2,1,1,2,2,-0.33823988,-0.2732842,-0.54010123,-0.7015355,0.8391481,-0.35868222,-0.27636373
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.41362345,-0.4309925,-0.37876132,-0.42164811,-0.21463843,-0.5039301,-0.29481024
1,2,1,2,1,3,1,1,2,1,1,2,1,0.09439639,-0.2732842,0.033274226,-0.6506469,-0.21463843,-0.35868222,5.842612
1,3,1,7,1,2,1,1,2,1,1,2,2,-0.20467982,-0.2732842,-0.53442425,-1.3630877,-0.21463843,-0.35868222,-0.27636373
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.41608164,-0.8228737,-0.41696745,1.6138967,-0.21463843,0.22374748,-0.59720147
1,2,1,4,1,3,1,1,1,1,1,1,1,-0.106353395,-0.20239513,0.77128226,-0.6252026,-0.21463843,0.16190925,-0.36991394
1,2,1,2,1,3,1,1,1,2,1,1,1,-0.39969388,-0.5106432,-0.37876132,1.5884523,-0.21463843,-0.3644346,-0.6446354
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.27637616,-0.5918868,1.007899,-0.49798104,-0.21463843,0.29421428,-0.52078015
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.36650872,-0.7097698,0.3180318,0.26534826,-0.21463843,0.16478546,-0.0029598752
1,3,1,7,1,2,1,1,2,1,1,2,2,-0.10881155,-0.2732842,-0.46062344,1.7665626,-0.21463843,-0.35868222,-0.27636373
1,2,1,4,1,3,1,1,2,1,1,2,1,0.3484063,-0.2732842,0.73154336,-1.1849774,-0.21463843,-0.35868222,1.1440187
