SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,4,1,3,1,1,1,1,1,1,0.42836225,0.21874054,1.3513751,-0.20307691,0.72589976,0.5745853
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3116111,-0.60438746,-0.5125923,-0.20307691,0.19175608,-0.5281064
1,2,1,4,5,1,3,1,1,1,1,1,1,2.4928093,1.2858698,1.6879247,-0.20307691,2.1390326,0.66714036
1,5,1,4,5,1,2,1,1,1,1,1,2,-0.19825348,0.3497783,-0.07248888,-0.20307691,-0.5845131,-0.2804758
1,2,1,2,1,1,3,1,1,2,1,2,1,0.32799354,-0.30315122,-1.3410223,-0.20307691,-0.2631465,0.45260888
1,3,1,6,3,1,2,1,1,2,1,2,2,-0.41394824,-0.30315122,-0.5902576,-0.20307691,-0.2631465,-0.2804758
1,2,1,2,3,1,3,1,1,1,1,1,1,0.23156084,-0.5689922,1.6620363,-0.20307691,2.5000198,-0.10517295
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.35884345,-0.30315122,-0.6420345,-0.20307691,-0.2631465,-0.11927073
1,2,1,3,2,1,2,1,1,2,1,2,1,-0.5013277,-0.30315122,-0.07248888,-0.20307691,-0.2631465,-0.3975487
1,2,1,3,1,1,3,1,1,2,1,2,1,-0.31948316,-0.30315122,0.2640608,-0.20307691,-0.2631465,0.196397
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.4808997,-0.56070817,-0.07248888,-0.20307691,-0.65348226,-0.37241787
1,2,1,5,5,1,3,1,1,2,1,2,1,0.6251637,-0.30315122,-0.79736507,-0.20307691,-0.2631465,2.9289148
1,2,1,2,1,1,2,1,1,1,1,1,1,-0.5950056,-0.7158448,-0.5902576,-0.20307691,-1.0687642,-0.38958037
1,2,1,2,1,1,2,1,1,2,1,2,1,-0.4100118,-0.30315122,-0.616146,-0.20307691,-0.2631465,-0.4692635
1,5,1,4,3,1,4,1,1,1,1,1,2,-0.35884383,-0.50648564,-0.5902576,-0.20307691,-0.2220585,-0.2804758
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.51667815,-0.47636205,-0.15015419,1.3777825,-0.87799865,-0.4239054
1,2,1,1,1,1,2,1,1,2,2,2,1,-0.47495627,-0.30315122,-0.020712012,-0.20307691,-0.2631465,-0.44658446
1,6,1,1,0,1,3,1,1,1,1,1,2,2.4160566,4.216898,-1.3927991,-0.20307691,0.1814841,-0.2804758
1,2,1,4,4,1,3,1,1,2,1,2,1,0.09379945,-0.30315122,-1.5481298,3.8972769,-0.2631465,0.092808954
1,3,1,7,7,1,1,1,1,2,2,2,2,0.24336892,-0.30315122,-0.020712012,-0.20307691,-0.2631465,-0.2804758
1,5,1,3,3,1,1,1,1,1,1,1,2,-0.35530102,-0.26549667,-0.5902576,-0.20307691,-0.51554406,-0.2804758
1,5,1,4,3,1,1,1,1,1,1,1,2,-0.34349293,-0.17211346,-0.7196998,-0.20307691,-0.56396914,-0.2804758
1,3,1,8,4,1,1,1,1,1,1,1,2,0.36932182,1.7128721,-1.1080264,-0.20307691,-0.4230961,-0.2804758
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.4788923,-0.48991767,0.2899492,-0.20307691,-0.7209839,-0.3429964
1,5,1,4,3,1,2,1,1,1,1,1,2,-0.41827747,-0.34005266,-0.84914196,-0.20307691,-0.64321023,-0.2804758
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.5793004,-0.5275722,0.13461861,-0.20307691,-1.0981128,-0.48458716
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.26241073,-0.54037476,-0.616146,-0.20307691,0.24605091,-0.115593046
1,3,1,0,0,1,3,1,1,2,1,2,2,0.17252041,-0.30315122,-1.5481298,-0.20307691,-0.2631465,-0.2804758
1,2,1,3,1,1,4,1,1,1,1,1,1,-0.54781216,-0.60288125,-0.04660045,-0.20307691,-0.91321695,-0.37609553
1,2,1,4,3,1,3,1,1,1,1,1,1,0.6251637,-0.00040881272,-0.2795964,-0.20307691,1.5726056,0.6095233
1,2,1,2,2,1,3,1,1,1,1,1,1,-0.162042,-0.46130022,1.403152,-0.20307691,0.44855592,-0.2908959
1,2,1,4,3,1,2,1,1,1,1,1,1,-0.3118079,-0.2564596,-0.33137324,-0.20307691,-0.39521497,0.12774694
1,3,1,4,3,1,1,1,1,1,1,1,2,-0.3253872,0.01766536,0.18639548,-0.20307691,-0.65348226,-0.2804758
1,2,1,3,3,1,2,1,1,2,1,2,1,-0.3950549,-0.30315122,1.4549289,-0.20307691,-0.2631465,-0.7150553
1,2,1,3,4,1,3,1,1,1,1,1,1,0.1705524,-0.2782992,0.8077179,-0.20307691,1.0898218,0.497354
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.42969194,-0.88227785,1.7914785,-0.20307691,0.5424713,-0.7426379
1,2,1,3,4,1,4,1,1,1,1,1,1,-0.5481664,-0.33929956,0.23817235,-0.20307691,-1.0643619,-0.5244287
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.36868352,-0.6488198,1.5584826,-0.20307691,0.031806476,-0.7242495
1,3,1,5,7,1,2,1,1,2,1,2,2,-0.3946613,-0.30315122,0.18639548,-0.20307691,-0.2631465,-0.2804758
1,3,1,4,5,1,3,1,1,1,1,1,2,0.05247154,0.65402687,-1.3410223,-0.20307691,-0.34092015,-0.2804758
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.41985187,-0.69099283,0.9112717,-0.20307691,-0.12961057,-0.428809
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.46944585,-0.30315122,1.6361479,-0.20307691,-0.2631465,-0.75305796
1,3,1,8,3,1,2,1,1,2,1,2,2,-0.04396116,-0.30315122,-1.1080264,-0.20307691,-0.2631465,-0.2804758
1,2,1,2,1,1,2,1,1,1,1,1,1,-0.4497657,-0.78738844,1.5584826,-0.20307691,-0.035695195,-0.787996
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.5561172,-0.7911539,-0.07248888,-0.20307691,-0.7444627,-0.6096284
1,2,1,3,1,1,2,1,1,2,1,2,1,-0.5151825,-0.30315122,0.056953296,-0.20307691,-0.2631465,-0.22347173
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.26241073,-0.642042,1.6361479,-0.20307691,0.54393876,-0.312962
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.31948316,-0.30315122,0.49705672,4.218389,-0.2631465,0.15900724
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.44582966,-0.8227837,1.6361479,-0.20307691,0.11985213,-0.5992083
1,2,1,5,7,1,3,1,1,1,1,1,1,2.884444,1.1774248,-0.33137324,-0.20307691,2.7612221,1.4664233
1,2,1,1,1,1,2,1,1,1,1,1,1,-0.60209,-0.90411747,0.2899492,-0.20307691,-0.9234889,-0.6102413
1,2,1,3,3,1,3,1,1,1,1,1,1,0.6251637,-0.30315122,1.6620363,-0.20307691,2.5733912,0.28527433
1,2,1,3,3,1,2,1,1,1,1,1,1,-0.40686297,-0.32197848,1.4549289,-0.20307691,-0.62266624,-0.67889136
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.3789172,-0.30315122,0.73005265,-0.20307691,-0.2631465,0.45751244
1,2,1,4,6,1,3,1,1,1,1,1,1,0.72159636,0.52675456,-0.15015419,-0.20307691,0.82275,3.1085083
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.4218199,-0.30315122,0.47116828,-0.20307691,-0.2631465,-0.2308271
1,6,1,5,7,1,3,1,1,1,1,1,2,2.6915786,1.0177696,-2.506002,-0.20307691,2.8169842,-0.2804758
1,2,1,4,5,1,3,1,1,1,1,1,1,0.28863326,0.40098846,1.2995982,-0.20307691,0.24018121,0.9546125
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.4655098,-0.30315122,-0.7196998,-0.20307691,-0.2631465,-0.37977323
1,3,1,6,6,1,1,1,1,1,1,1,2,-0.10772482,0.60206366,-1.3927991,-0.20307691,-0.55956686,-0.2804758
1,2,1,4,5,1,3,1,1,2,1,2,1,0.52479494,-0.30315122,-0.7196998,-0.20307691,-0.2631465,1.4498737
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.51667815,-0.52305365,0.18639548,-0.20307691,-0.8427804,-0.31480083
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.5517529,-0.72864735,-0.20193106,-0.20307691,-0.8046273,-0.49745905
1,2,1,5,8,1,3,1,1,1,1,1,1,3.280015,0.9838805,1.2219329,-0.20307691,3.6372764,1.9524903
1,2,1,4,8,1,3,1,1,2,1,2,1,0.4067141,-0.30315122,0.18639548,-0.20307691,-0.2631465,1.7722839
1,5,1,5,7,1,2,1,1,2,1,2,2,-0.34742895,-0.30315122,-0.5902576,-0.20307691,-0.2631465,-0.2804758
1,2,1,5,8,1,3,1,1,1,1,1,1,3.2623029,1.4831796,1.7914785,-0.20307691,2.6819808,2.5936327
1,3,1,11,10,1,1,1,1,1,1,1,2,-0.10339519,2.4998517,-0.56436914,-0.20307691,-0.9909906,-0.2804758
1,2,1,2,1,1,1,1,1,1,2,1,2,-0.569421,-0.7158448,-0.020712012,-0.20307691,-0.9220215,-0.2804758
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.49660444,-0.30315122,1.7397016,-0.20307691,-0.2631465,-0.7720593
1,3,1,6,3,1,2,1,1,2,1,2,2,-0.35884345,-0.30315122,-0.12426576,-0.20307691,-0.2631465,-0.2804758
