SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.29414392,-0.2988815,-0.2574065,-1.0585967,-0.16497011,-0.28536287,-0.3215445
1,3,1,5,1,3,1,1,1,1,1,1,2,0.17100953,0.90507495,-0.38993767,-1.3399874,-0.16497011,-0.28536287,-0.26437873
1,5,1,1,1,2,1,1,1,1,1,1,2,-0.4499943,-0.60010743,-0.33434242,-0.7260442,4.1898975,-0.52855027,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.34929097,-0.66641504,-0.109043114,1.5250809,-0.16497011,-0.055940773,-0.82364374
1,5,1,3,1,4,1,1,1,1,1,1,2,-0.42606527,-0.56979537,-0.27320227,0.16928966,-0.16497011,-0.47501847,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,0.38920006,-0.692938,1.5379109,1.6274048,-0.16497011,3.0030205,-0.0257217
1,5,1,7,2,2,1,1,1,1,1,1,2,-0.21027818,0.89370793,-0.34762108,0.09254677,-0.16497011,-0.77479666,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,0.2093727,-0.7478786,-0.070885226,-0.828368,-0.16497011,2.5640597,-0.27117467
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.09033957,-0.39171213,0.38343436,-1.0330157,-0.16497011,0.3401947,0.2021418
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.12390735,-0.61147445,-0.37352175,-0.57255834,-0.16497011,0.6812689,-0.4086923
1,6,1,13,1,3,1,1,1,1,1,1,2,0.029545335,5.6706963,-0.36804977,-0.59813935,-0.16497011,-1.0913992,-0.26437873
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.40683573,-0.2988815,0.4628509,0.4506803,-0.16497011,-0.28536287,-0.16723692
1,5,1,3,1,2,1,1,2,1,1,2,2,-0.26824877,-0.2988815,-0.30968207,-0.21442483,-0.16497011,-0.28536287,-0.26437873
1,2,1,7,1,3,1,1,1,1,1,1,1,1.8733753,0.97138256,-0.26926243,1.397176,-0.16497011,1.8222616,1.9586896
1,3,1,7,1,2,1,1,2,1,1,2,2,-0.1886452,-0.2988815,-0.3644018,-1.3911493,-0.16497011,-0.28536287,-0.26437873
1,2,1,3,1,3,1,1,2,1,1,2,1,-0.5559726,-0.2988815,3.577242,0.27161354,3.1387227,-0.28536287,-0.09687908
1,2,1,8,1,3,1,1,1,1,1,1,1,4.103235,1.319971,-0.18926221,1.1925284,-0.16497011,3.8610592,2.6806571
1,3,1,8,1,2,1,1,2,1,1,2,2,-0.14356847,-0.2988815,-0.327922,-0.59813935,-0.16497011,-0.28536287,-0.26437873
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.5051414,-0.2988815,-0.26918948,-1.1097586,-0.16497011,-0.28536287,-0.36871624
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.555493,-0.2988815,0.055116042,0.066965796,-0.16497011,-0.28536287,-0.24239191
1,5,1,4,1,2,1,1,1,1,1,1,2,-0.28263497,0.20884521,-0.30968207,-0.08652,2.7482862,-0.6478498,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.34449556,-0.91270036,-0.104081854,0.19487064,-0.16497011,0.60479486,-0.24479048
1,5,1,3,1,2,1,1,1,1,1,1,2,-0.40251988,-0.3452968,-0.39803618,-0.853949,-0.16497011,-0.60043585,-0.26437873
1,2,1,2,1,2,1,1,2,2,1,2,1,-0.50370276,-0.2988815,-0.27320227,-0.08652,-0.16497011,-0.28536287,-0.38470665
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.53391373,-0.2988815,-0.27320227,0.04138483,-0.16497011,-0.28536287,-0.43027937
1,2,1,1,1,2,1,1,2,1,1,2,2,-0.48835745,-0.2988815,-0.17835476,-0.67488223,-0.16497011,-0.28536287,-0.26437873
1,3,1,3,1,2,1,1,2,1,1,2,2,-0.3301094,-0.2988815,-0.3779358,-0.13768193,-0.16497011,-0.28536287,-0.26437873
1,5,1,5,1,2,1,1,2,1,1,2,2,-0.40208828,-0.2988815,-0.3826417,-0.7260442,-0.16497011,-0.28536287,-0.26437873
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.28215542,-0.2988815,-0.21483457,1.7041477,-0.16497011,-0.28536287,-0.27837035
1,5,1,8,1,1,1,1,1,1,1,1,2,0.7009008,2.0900865,-0.34068993,1.2436903,-0.16497011,-0.20430039,-0.26437873
1,3,1,6,1,2,1,1,1,1,1,1,2,0.20122053,1.3322853,-0.28024286,-0.21442483,-0.16497011,-0.42454562,-0.26437873
1,3,1,3,1,1,1,1,1,1,1,1,2,-0.2893485,0.10464757,-0.3826417,0.16928966,-0.16497011,-0.6111422,-0.26437873
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.5372705,-0.2988815,-0.27320227,0.04138483,-0.16497011,-0.28536287,-0.28556606
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.22221297,-0.62852496,0.18181044,0.1437087,-0.16497011,0.357019,-0.45026737
1,6,1,1,1,4,1,1,1,1,1,1,2,-0.25817844,-0.06964668,-0.30968207,-0.98185384,-0.16497011,-0.4413699,-0.26437873
1,2,1,3,1,3,1,1,2,1,1,2,1,-0.061567195,-0.2988815,-0.37352175,-0.57255834,-0.16497011,-0.28536287,-0.34632966
1,6,1,1,1,3,1,1,1,1,1,1,2,-0.45718738,0.0118169375,-0.40544158,-1.3399874,-0.16497011,-0.91092044,-0.26437873
1,6,1,4,1,3,1,1,2,1,1,2,2,-0.40443802,-0.2988815,-0.38993767,-0.59813935,0.40566775,-0.28536287,-0.26437873
1,3,1,10,1,1,1,1,1,1,1,1,2,-0.018888166,3.226788,-0.37581998,-0.57255834,-0.16497011,-0.9629228,-0.26437873
1,3,1,3,1,2,1,1,2,1,1,2,2,-0.3972454,-0.2988815,-0.3461619,-0.59813935,-0.16497011,-0.28536287,-0.26437873
1,3,1,3,2,2,1,1,1,1,1,1,2,-0.11431655,1.0291649,-0.3644018,-1.3399874,-0.16497011,-0.69067526,-0.26437873
1,3,1,9,1,2,1,1,2,1,1,2,2,-0.16227052,-0.2988815,-0.3644018,1.7553096,-0.16497011,-0.28536287,-0.26437873
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.5051414,-0.2988815,-0.27320227,-0.060939033,-0.16497011,-0.28536287,-0.53661567
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.09033957,-0.07059393,-0.35561016,0.50184226,-0.16497011,-0.06817662,-0.8108514
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.5319956,-0.2988815,0.64371777,0.24603257,-0.16497011,-0.28536287,-0.5190262
1,5,1,2,1,2,1,1,2,1,1,2,2,-0.37087026,-0.2988815,-0.3826417,-0.59813935,-0.16497011,-0.28536287,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.32819122,-0.83881474,-0.1892987,1.448338,-0.16497011,0.43961096,-0.55500466
1,5,1,2,1,1,1,1,1,1,1,1,2,-0.4404035,-0.48643726,-0.37731564,0.85997576,-0.16497011,-0.60196537,-0.26437873
1,5,1,7,1,2,1,1,2,1,1,2,2,-0.31620273,-0.2988815,-0.30968207,-0.59813935,-0.16497011,-0.28536287,-0.26437873
1,2,1,5,1,3,1,1,1,1,1,1,1,3.1441553,1.6998188,-0.3589298,1.6529857,-0.16497011,2.2994595,1.0040615
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.3785429,-1.1040452,-0.20961796,0.8343948,-0.16497011,1.4551861,-0.17523214
1,2,1,2,1,3,1,1,1,2,1,1,1,-0.41690606,-0.5811624,-0.27320227,1.5762428,-0.16497011,-0.43066353,-0.70531464
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.47445083,-0.296987,-0.27320227,-0.08652,-0.16497011,-0.8252695,-0.052905418
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.54158634,-0.48643726,0.20377128,0.2204516,-0.16497011,-0.9246858,1.5893109
1,3,1,4,1,1,1,1,1,1,1,1,2,-0.06641054,0.95338476,-0.3826417,-1.3399874,-0.16497011,-0.6080833,-0.26437873
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.555493,-0.2988815,-0.36243188,-1.1097586,-0.16497011,-0.28536287,-0.5190262
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.6264649,-1.0547881,-0.27320227,0.27161354,-0.16497011,-0.8925667,-0.6621405
