SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,2,1,3,1,1,1,1,1,1,-0.0051487884,0.3817908,-1.2285061,-0.20961694,0.5228304,0.23114493
1,5,1,4,3,1,2,1,1,1,1,1,2,-0.3934021,-0.5652724,-0.84385353,-0.20961694,-0.62834233,-0.26232257
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.504205,-0.36159903,0.18188672,-0.20961694,-0.8293173,-0.26232257
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3131808,0.04610475,0.8742614,-0.20961694,0.24796762,0.20101462
1,2,1,5,8,1,3,1,1,1,1,1,1,3.7510688,-0.36159903,1.7717841,-0.20961694,2.7202551,2.914751
1,3,1,6,6,1,1,1,1,1,1,1,2,-0.070300885,-0.40849984,1.3102009,-0.20961694,-0.6771083,-0.26232257
1,2,1,4,6,1,3,1,1,1,1,1,1,0.8901385,0.087886944,-0.15147887,-0.20961694,0.847937,3.4771836
1,2,1,5,8,1,3,1,1,1,1,1,1,3.7710135,-0.22464627,1.2076269,-0.20961694,3.682275,2.2143888
1,2,1,4,3,1,3,1,1,1,1,1,1,-0.08935898,0.85853636,-0.6387055,-0.20961694,0.076547794,-0.3420005
1,3,1,7,9,1,2,1,1,1,1,1,2,0.027648864,-0.50194436,-0.45920095,-0.20961694,-0.6327756,-0.26232257
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.41556266,-0.36159903,-0.07454835,-0.20961694,-0.6933636,-0.19871415
1,2,1,2,1,1,2,1,1,2,1,2,1,-0.5485261,-0.36159903,-0.07454835,-0.20961694,-0.2537309,-0.51073027
1,2,1,2,2,1,2,1,1,2,1,1,1,-0.3087487,-0.36159903,0.9768354,-0.20961694,-0.1126051,-0.21009672
1,2,1,3,1,1,2,1,1,1,1,2,2,-0.47273695,-0.20685016,-0.664349,-0.20961694,-0.2537309,-0.26232257
1,2,1,5,7,1,3,1,1,1,1,1,1,3.3255858,0.19210437,-0.33098343,-0.20961694,2.800054,1.6834258
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3707983,0.38333827,0.25881723,-0.20961694,0.07950331,0.030945767
1,2,1,3,3,1,3,1,1,1,1,1,1,0.050252654,-0.05364876,1.4384185,-0.20961694,0.45633134,-0.36476564
1,2,1,1,1,1,3,1,1,1,1,2,1,-0.4510196,0.51630324,0.31010425,-0.20961694,-0.2537309,-0.3065137
1,2,1,1,1,1,3,1,1,1,1,2,1,-0.48160118,-0.26636896,1.7204971,-0.20961694,-0.2537309,-0.76181614
1,2,1,4,4,1,3,1,1,1,1,1,1,0.29401898,0.17972445,1.412775,-0.20961694,0.54204124,0.19297987
1,2,1,2,1,1,3,1,1,1,1,1,1,0.17213583,-0.031507764,-0.81821,-0.20961694,2.429137,-0.25763565
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.27329177,1.1066108,-0.510488,-0.20961694,0.21250144,-0.4953303
1,5,1,5,7,1,2,1,1,1,1,2,2,-0.31362402,-0.42111784,-0.5874185,-0.20961694,-0.2537309,-0.26232257
1,6,1,6,6,1,3,1,1,1,1,1,2,0.44914302,-0.40921408,-1.1002886,-0.20961694,-0.24412549,-0.26232257
1,3,1,5,3,1,2,1,1,1,1,2,2,-0.12703195,-0.575093,-0.74127954,-0.20961694,-0.2537309,-0.26232257
1,2,1,3,4,1,4,1,1,1,1,1,1,-0.5396619,-0.5907464,0.23317373,-0.20961694,-1.0524585,-0.49131292
1,2,1,3,1,1,3,1,1,1,1,2,1,-0.21789032,0.04312881,0.13059969,-0.20961694,-0.2537309,0.17891906
1,2,1,2,1,1,2,1,1,2,1,2,1,-0.5325705,-0.36159903,0.13059969,-0.20961694,-0.2537309,-0.44645226
1,2,1,4,4,1,3,1,1,1,1,1,1,0.4713036,-0.38254964,1.6948535,-0.20961694,0.172602,-0.4136437
1,2,1,3,3,1,3,1,1,1,1,2,1,-0.5352298,5.9206104,0.28446072,3.6914115,-0.2537309,-0.11167103
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.42619973,-0.36159903,-0.9977146,-0.20961694,-0.2537309,-0.4812695
1,6,1,5,3,1,4,1,1,1,1,1,2,-0.2209928,-0.33743438,-0.45920095,-0.20961694,-0.7509961,-0.26232257
1,2,1,3,3,1,3,1,1,1,1,1,1,0.09235775,-0.36534873,-0.664349,2.201928,-0.072705664,1.341949
1,3,1,6,4,1,2,1,1,1,1,2,2,-0.26221147,-0.5391436,-1.1002886,2.6984224,-0.2537309,-0.26232257
