Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,project_name,target,target_std
BayesianRidge,-0.30427317607783366,-0.001833019306162198,55.84346637996477,0.03677964210510254,real-state-ny,DAYS ON MARKET,30.497
LassoLarsIC,-0.3043680766651209,-0.001905913960165373,55.84549796408967,0.034389495849609375,real-state-ny,DAYS ON MARKET,30.497
DummyRegressor,-0.3043680766651209,-0.001905913960165373,55.84549796408967,0.04082512855529785,real-state-ny,DAYS ON MARKET,30.497
XGBRegressor,-0.33441663563036483,-0.0249866911363672,56.485088161283876,0.10747718811035156,real-state-ny,DAYS ON MARKET,30.497
SVR,-0.33594601624877396,-0.02616143277079752,56.51744779273125,0.03331136703491211,real-state-ny,DAYS ON MARKET,30.497
NuSVR,-0.3365800060104853,-0.02664841041385113,56.53085673020421,0.0558624267578125,real-state-ny,DAYS ON MARKET,30.497
LinearSVR,-0.33662991400198905,-0.026686745537759737,56.531912153436615,0.05338644981384277,real-state-ny,DAYS ON MARKET,30.497
HuberRegressor,-0.33662993437723365,-0.026686761188309926,56.53191258431561,0.08332085609436035,real-state-ny,DAYS ON MARKET,30.497
QuantileRegressor,-0.33662993538642616,-0.026686761963486738,56.5319126056572,0.8897244930267334,real-state-ny,DAYS ON MARKET,30.497
RANSACRegressor,-0.33662993538788166,-0.026686761964604733,56.53191260568797,0.06425857543945312,real-state-ny,DAYS ON MARKET,30.497
PassiveAggressiveRegressor,-0.3683255120360833,-0.051032639679890135,57.19825760477594,0.03515481948852539,real-state-ny,DAYS ON MARKET,30.497
HistGradientBoostingRegressor,-0.3896320854968516,-0.067398558425118,57.64186231493146,0.3074452877044678,real-state-ny,DAYS ON MARKET,30.497
LGBMRegressor,-0.3963326454226832,-0.07254536532466971,57.780664624308706,0.06359052658081055,real-state-ny,DAYS ON MARKET,30.497
DecisionTreeRegressor,-0.4398810279337577,-0.10599557218100242,58.67476946208286,0.037102699279785156,real-state-ny,DAYS ON MARKET,30.497
AdaBoostRegressor,-0.4766295667772755,-0.13422271071297986,59.41879870520707,0.15464425086975098,real-state-ny,DAYS ON MARKET,30.497
ExtraTreeRegressor,-0.8577130633436427,-0.42693901966975467,66.64650885723229,0.0364384651184082,real-state-ny,DAYS ON MARKET,30.497
GaussianProcessRegressor,-12.409605827985684,-9.3001320128006,179.05897463436233,0.06264328956604004,real-state-ny,DAYS ON MARKET,30.497
