,Unnamed: 0,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
174,174,MLS Listing,,Condo/Co-op,,New York,NY,10036,1850000,1.0,1.0,Hells Kitchen,608.0,54647.0,2017.0,1,3043.0,1006.0,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10036/home/115300908,REBNY,OLRS-00011956368,N,Y,40.7593086,-73.9950519
175,175,MLS Listing,,Single Family Residential,135-28 122nd St,South Ozone Park,NY,11420,879000,4.0,2.0,South Ozone Park,,4000.0,1945.0,1,,,Active,,,https://www.redfin.com/NY/Jamaica/135-28-122nd-St-11420/home/20715855,OneKey,3450460,N,Y,40.6692406,-73.8186412
176,176,MLS Listing,,Multi-Family (2-4 Unit),202-02 109th Ave,Jamaica,NY,11412,750000,5.0,2.0,Jamaica,,2129.0,1948.0,1,,,Active,,,https://www.redfin.com/NY/Queens/202-02-109th-Ave-11412/home/20639423,OneKey,3450458,N,Y,40.7076586,-73.7560909
177,177,MLS Listing,,Multi-Family (2-4 Unit),104-53 91 St. Ave,Richmond Hill,NY,11418,1139000,6.0,4.5,Richmond Hill,,3500.0,1930.0,1,,,Active,January-8-2023 01:00 PM,January-8-2023 03:00 PM,https://www.redfin.com/NY/Jamaica/104-53-91st-Ave-11418/home/20774615,OneKey,3450453,N,Y,40.6929858,-73.8402293
178,178,MLS Listing,,Condo/Co-op,245 E 24th St Unit 2C,New York,NY,10010,720000,0.0,1.0,Kips Bay,550.0,9636.0,1961.0,1,1309.0,1032.0,Active,,,https://www.redfin.com/NY/New-York/245-E-24th-St-10010/unit-2C/home/169013493,REBNY,RLMX-86102,N,Y,40.7388152,-73.9806852
179,179,MLS Listing,,Condo/Co-op,3840 Greystone Ave Unit 3L,Bronx,NY,10463,315000,2.0,1.0,Greystone Park,1050.0,,1951.0,1,300.0,945.0,Active,,,https://www.redfin.com/NY/The-Bronx/3840-Greystone-Ave-10463/unit-3L/home/44764627,OneKey,H6225426,N,Y,40.8883114,-73.9045294
180,180,MLS Listing,,Condo/Co-op,39-30 52nd St Unit 5G,Woodside,NY,11377,385000,1.0,1.0,51st/52nd Streets Corp,,,1951.0,1,,667.0,Active,,,https://www.redfin.com/NY/Woodside/39-30-52nd-St-11377/unit-5G/home/183633626,OneKey,3450447,N,Y,40.7479706,-73.9122419
181,181,MLS Listing,,Single Family Residential,19 Warwick Ave,Douglaston,NY,11363,1850000,4.0,3.5,Douglaston Manor,3300.0,12000.0,1925.0,1,561.0,,Active,,,https://www.redfin.com/NY/Flushing/19-Warwick-Ave-11363/home/20804834,OneKey,3450445,N,Y,40.7788449,-73.752818
182,182,MLS Listing,,Single Family Residential,150-30 116th Rd,Jamaica,NY,11434,599900,3.0,3.0,Jamaica,,2000.0,1925.0,1,,,Active,January-8-2023 01:30 PM,January-8-2023 03:00 PM,https://www.redfin.com/NY/Jamaica/150-30-116th-Rd-11434/home/20708632,OneKey,3450440,N,Y,40.682055,-73.791329
183,183,MLS Listing,,Multi-Family (2-4 Unit),318 80th St,Brooklyn,NY,11209,1399000,11.0,6.0,Brooklyn,4920.0,2187.0,1931.0,1,284.0,,Active,,,https://www.redfin.com/NY/Brooklyn/318-80th-St-11209/home/40816726,BNYMLS,470841,N,Y,40.6275295,-74.0286775
